Order ID,Kode Minuman,Jumlah,Tanggal Order,Harga Satuan,Ukuran
O00001,P008,10,1/2/2024,12000,Regular
O00001,P002,4,9/13/2024,7000,Regular
O00001,P004,1,5/23/2024,6000,Small
O00001,P008,6,8/5/2024,14000,Large
O00001,P001,7,8/3/2024,3000,Small
O00002,P007,10,11/12/2024,14000,Large
O00002,P006,8,10/4/2024,14000,Large
O00002,P006,6,3/12/2024,12000,Regular
O00002,P002,7,11/4/2024,7000,Regular
O00002,P007,10,9/15/2024,10000,Small
O00003,P006,8,8/30/2024,14000,Large
O00003,P002,2,12/16/2024,9000,Large
O00003,P008,6,7/25/2024,12000,Regular
O00003,P005,10,3/17/2024,8000,Regular
O00004,P001,1,8/30/2024,7000,Large
O00004,P001,2,3/15/2024,5000,Regular
O00005,P008,9,2/22/2024,12000,Regular
O00005,P008,2,3/30/2024,10000,Small
O00005,P001,3,9/16/2024,5000,Regular
O00006,P002,1,7/16/2024,7000,Regular
O00007,P006,5,5/8/2024,12000,Regular
O00007,P002,3,5/9/2024,9000,Large
O00007,P006,10,7/25/2024,10000,Small
O00007,P001,6,6/1/2024,5000,Regular
O00008,P001,6,10/17/2024,7000,Large
O00008,P001,2,3/12/2024,5000,Regular
O00008,P004,10,8/20/2024,10000,Large
O00009,P003,3,2/10/2024,6000,Small
O00009,P003,2,4/2/2024,8000,Regular
O00010,P008,7,7/18/2024,14000,Large
O00010,P007,7,7/25/2024,14000,Large
O00010,P005,2,1/15/2024,6000,Small
O00010,P007,4,11/7/2024,10000,Small
O00010,P004,8,5/18/2024,8000,Regular
O00011,P001,10,12/4/2024,7000,Large
O00011,P007,4,9/26/2024,10000,Small
O00011,P003,5,2/28/2024,6000,Small
O00011,P005,9,8/25/2024,8000,Regular
O00012,P002,9,8/18/2024,7000,Regular
O00012,P005,8,11/14/2024,10000,Large
O00012,P007,10,3/8/2024,12000,Regular
O00012,P004,2,1/31/2024,10000,Large
O00012,P003,5,3/23/2024,8000,Regular
O00013,P001,1,11/16/2024,7000,Large
O00014,P008,8,7/27/2024,10000,Small
O00014,P008,9,5/13/2024,12000,Regular
O00014,P003,10,6/16/2024,10000,Large
O00015,P003,2,7/14/2024,10000,Large
O00015,P005,5,3/15/2024,10000,Large
O00015,P005,7,9/16/2024,10000,Large
O00016,P008,3,3/1/2024,12000,Regular
O00017,P007,5,7/10/2024,12000,Regular
O00017,P006,8,5/28/2024,10000,Small
O00017,P008,5,12/12/2024,10000,Small
O00017,P008,3,9/22/2024,10000,Small
O00017,P006,5,5/30/2024,14000,Large
O00017,P004,3,12/2/2024,10000,Large
O00018,P004,5,5/28/2024,6000,Small
O00018,P007,9,11/10/2024,12000,Regular
O00019,P007,9,6/4/2024,12000,Regular
O00019,P003,7,3/17/2024,10000,Large
O00019,P007,10,7/18/2024,12000,Regular
O00019,P007,3,1/6/2024,12000,Regular
O00019,P007,4,4/21/2024,12000,Regular
O00019,P002,1,8/11/2024,7000,Regular
O00019,P003,1,4/18/2024,8000,Regular
O00019,P007,1,7/30/2024,14000,Large
O00020,P007,10,10/10/2024,12000,Regular
O00020,P004,1,8/20/2024,8000,Regular
O00021,P002,4,2/2/2024,5000,Small
O00021,P006,9,2/28/2024,10000,Small
O00021,P005,10,1/18/2024,6000,Small
O00021,P007,9,6/11/2024,10000,Small
O00021,P001,1,4/6/2024,3000,Small
O00021,P002,6,12/18/2024,7000,Regular
O00021,P002,4,9/3/2024,9000,Large
O00022,P003,3,12/14/2024,10000,Large
O00022,P008,4,5/21/2024,14000,Large
O00022,P008,4,11/17/2024,12000,Regular
O00022,P005,10,12/24/2024,6000,Small
O00022,P003,6,2/7/2024,10000,Large
O00022,P008,4,4/2/2024,12000,Regular
O00023,P001,9,3/19/2024,3000,Small
O00023,P004,6,6/18/2024,10000,Large
O00023,P005,5,6/27/2024,10000,Large
O00023,P006,6,9/30/2024,12000,Regular
O00023,P003,9,8/17/2024,6000,Small
O00024,P005,9,8/20/2024,10000,Large
O00025,P008,5,2/16/2024,12000,Regular
O00025,P003,2,9/20/2024,6000,Small
O00025,P007,3,3/10/2024,14000,Large
O00025,P005,2,8/21/2024,10000,Large
O00025,P003,10,9/23/2024,6000,Small
O00025,P002,6,1/28/2024,9000,Large
O00026,P002,7,9/5/2024,9000,Large
O00026,P005,8,8/9/2024,8000,Regular
O00027,P008,6,9/19/2024,12000,Regular
O00027,P007,3,5/8/2024,12000,Regular
O00027,P008,8,9/22/2024,14000,Large
O00028,P002,5,6/14/2024,7000,Regular
O00028,P002,10,11/10/2024,7000,Regular
O00028,P003,2,1/8/2024,10000,Large
O00028,P002,7,4/18/2024,7000,Regular
O00029,P003,4,5/10/2024,8000,Regular
O00029,P007,2,5/7/2024,10000,Small
O00029,P005,1,2/6/2024,10000,Large
O00029,P002,5,6/17/2024,9000,Large
O00029,P006,4,6/20/2024,12000,Regular
O00029,P002,9,7/27/2024,9000,Large
O00031,P002,7,3/12/2024,5000,Small
O00031,P001,1,10/2/2024,7000,Large
O00032,P003,10,5/9/2024,8000,Regular
O00032,P008,6,10/6/2024,14000,Large
O00032,P005,7,12/8/2024,10000,Large
O00033,P008,4,12/15/2024,14000,Large
O00034,P008,1,8/7/2024,12000,Regular
O00034,P007,1,9/14/2024,14000,Large
O00034,P008,10,3/20/2024,14000,Large
O00035,P008,4,5/31/2024,10000,Small
O00035,P001,1,3/11/2024,3000,Small
O00035,P006,10,6/2/2024,10000,Small
O00036,P006,2,11/26/2024,12000,Regular
O00036,P001,7,2/26/2024,3000,Small
O00036,P002,2,5/31/2024,5000,Small
O00037,P004,4,1/27/2024,10000,Large
O00037,P006,5,3/26/2024,12000,Regular
O00037,P003,2,3/2/2024,8000,Regular
O00038,P001,3,3/7/2024,5000,Regular
O00038,P005,9,2/10/2024,8000,Regular
O00038,P004,10,2/8/2024,10000,Large
O00039,P003,1,9/25/2024,10000,Large
O00039,P006,3,3/4/2024,14000,Large
O00039,P002,8,5/3/2024,7000,Regular
O00039,P004,9,2/29/2024,6000,Small
O00039,P002,7,3/9/2024,9000,Large
O00040,P007,3,8/20/2024,14000,Large
O00040,P001,8,7/23/2024,3000,Small
O00040,P008,5,7/19/2024,12000,Regular
O00040,P001,8,2/5/2024,7000,Large
O00040,P003,10,7/22/2024,8000,Regular
O00041,P007,5,10/10/2024,14000,Large
O00041,P006,10,1/23/2024,10000,Small
O00041,P005,2,7/21/2024,10000,Large
O00041,P003,1,6/9/2024,8000,Regular
O00041,P002,2,4/23/2024,7000,Regular
O00041,P003,10,7/16/2024,6000,Small
O00042,P004,4,11/20/2024,6000,Small
O00042,P007,2,7/23/2024,12000,Regular
O00042,P001,10,8/15/2024,3000,Small
O00043,P003,7,1/13/2024,6000,Small
O00043,P005,2,11/25/2024,10000,Large
O00043,P005,6,1/16/2024,6000,Small
O00043,P003,6,1/27/2024,10000,Large
O00043,P006,8,5/19/2024,10000,Small
O00043,P008,3,4/30/2024,12000,Regular
O00043,P001,7,10/29/2024,3000,Small
O00044,P002,7,3/25/2024,7000,Regular
O00045,P008,10,4/10/2024,14000,Large
O00046,P005,6,3/4/2024,8000,Regular
O00047,P006,3,1/20/2024,10000,Small
O00047,P007,9,10/11/2024,12000,Regular
O00047,P007,8,2/1/2024,14000,Large
O00047,P004,5,12/20/2024,10000,Large
O00047,P005,9,5/21/2024,6000,Small
O00048,P006,4,3/22/2024,14000,Large
O00049,P004,4,6/1/2024,10000,Large
O00049,P003,8,2/4/2024,6000,Small
O00049,P001,3,6/25/2024,5000,Regular
O00049,P006,7,4/26/2024,10000,Small
O00050,P007,2,11/12/2024,12000,Regular
O00050,P007,9,7/19/2024,10000,Small
O00050,P008,7,3/22/2024,12000,Regular
O00050,P003,8,12/5/2024,10000,Large
O00051,P003,5,12/1/2024,8000,Regular
O00051,P002,8,11/21/2024,9000,Large
O00051,P007,5,11/20/2024,14000,Large
O00051,P004,9,9/15/2024,8000,Regular
O00052,P005,10,7/11/2024,6000,Small
O00053,P008,6,4/12/2024,10000,Small
O00053,P008,4,9/24/2024,12000,Regular
O00053,P001,7,7/12/2024,5000,Regular
O00054,P007,2,5/1/2024,12000,Regular
O00054,P008,5,6/27/2024,10000,Small
O00054,P003,4,11/14/2024,10000,Large
O00054,P008,7,10/4/2024,12000,Regular
O00054,P001,10,5/16/2024,3000,Small
O00055,P006,5,4/25/2024,12000,Regular
O00055,P004,8,12/14/2024,8000,Regular
O00055,P004,9,4/19/2024,10000,Large
O00055,P001,2,5/27/2024,7000,Large
O00055,P008,5,6/25/2024,14000,Large
O00056,P003,3,6/14/2024,8000,Regular
O00056,P001,6,5/13/2024,7000,Large
O00057,P001,9,6/27/2024,3000,Small
O00057,P004,2,12/7/2024,8000,Regular
O00058,P006,3,12/18/2024,12000,Regular
O00058,P003,1,9/12/2024,8000,Regular
O00058,P003,8,5/27/2024,8000,Regular
O00059,P004,9,7/10/2024,6000,Small
O00059,P003,4,6/14/2024,8000,Regular
O00059,P008,1,10/12/2024,14000,Large
O00060,P008,5,8/20/2024,10000,Small
O00061,P002,6,4/16/2024,9000,Large
